WayID|PointID|Rotation|Top5PlaceIndex
38823526|1448808420|0|[ 92 135  60  79  67]
51271803|654181122|0|[151  92   2  60 135]
3617968|18237764|0|[191 151 148  67  92]
4610445|1692431892|0|[  2 151 171 130  75]
203494404|1959436162|0|[ 92  31 199 196 135]
8136154|1469949937|0|[151  67  13 115 104]
45733570|582520348|0|[ 67 151 204  92 135]
4940404|3625957390|0|[151  67 120 135  60]
149616250|909457318|0|[151  67 204  13  57]
12710079|116117989|0|[ 60 151  13 130 120]
23372010|253067180|0|[135 151  92  94  60]
8321622|21574920|0|[151 120 135 104 115]
4849036|36487217|0|[151  67 120 204 104]
4482286|27340014|0|[151  67 115 120 135]
4253637|5337670078|0|[135  67 141  60  92]
3595852|17788850|0|[ 67 151 135  13  57]
184763905|124250527|0|[135 151  67  28 131]
6059544|249486804|0|[ 38  22  79 176 135]
4813603|30914994|0|[151  67  94  57  13]
193939156|3785996022|0|[ 92 135 151  60  67]
4865508|36269453|0|[ 67 135 151 204 138]
10578611|941120089|0|[120  67  76  94 151]
4278463|245794350|0|[ 92 151 135  60 120]
4211851|24955431|0|[151  67  60 204 115]
4341834|26658333|0|[ 60 151 130 135  92]
14371851|140039139|0|[ 92 151  60  94 130]
500549199|530980448|0|[ 52 172  73 187  42]
8685826|62055930|0|[151  92  67  79 204]
4942797|32567917|0|[ 94 135 151 130  13]
23115137|249551461|0|[ 92  79 151  60  67]
456784180|27120301|0|[151  13 115 120 104]
4632657|29426878|0|[ 67  94 151  76 120]
22604052|16574811|0|[ 60 135 151  92 120]
39523099|105920102|0|[151   2  13  94 120]
262200663|25473562|0|[166   1  54  36 126]
9925054|1561741495|0|[204 115 151  43 104]
191917318|2024780065|0|[170 160 173 199 201]
13873987|2306997795|0|[151  67 191  92  60]
100868531|2921402589|0|[ 67   2 164 204  57]
24951901|385878000|0|[191  92  25 148  52]
151993050|1648250994|0|[ 92 151  60  79  67]
24575980|424618|0|[151  67 135 120 204]
1746501|1289572996|0|[151  67  94 204 115]
99069430|332442559|0|[ 92 135 151  60 120]
22928191|81698001|0|[151  67  57  94 204]
166505019|1779464873|0|[ 67 164 135 151  94]
52128637|1961324329|0|[135  60  92 151  52]
4256421|9521018|0|[130  94 140  32  52]
23030619|248469081|0|[ 53 201  83  82 137]
4253390|25438891|0|[ 52  94 135 130 143]
17444623|180518969|0|[151 120  60  92 135]
168245836|1708319393|0|[151  92  60 120  67]
4899605|31930033|0|[151   2  67  57  13]
40606578|1767682658|0|[ 60 151  92 135  94]
15132826|149534158|0|[151  92  60  67 135]
10578187|290869231|0|[130  32  94  13 143]
25594977|1568934845|0|[ 67 135  60  28 141]
8408584|27121254|0|[ 67 151  92  79 120]
59034335|731652833|0|[ 79  78  16 149  67]
23077598|249092401|0|[151  60  67  92 120]
226590580|517790139|0|[ 92  79 186 151 131]
4223934|5090420940|0|[ 52 130  57  94 135]
227719007|3622156358|0|[ 13 151  94 130  60]
