WayID|PointID|Rotation|Top5PlaceIndex
175606861|1716108755|0|67
4018156|21300851|0|151
30899203|343528582|0|52
3648117|877904080|0|67
8415885|130196074|0|151
33567828|383361417|0|79
305295761|195950092|0|92
4444464|27288744|0|92
4263411|25583124|0|135
4678413|1961705899|0|92
4392619|26838239|0|52
41937249|1919768803|0|151
22979070|250687957|0|151
8119365|25422473|0|166
2954712|628894|0|151
6117286|50605969|0|120
105774977|43460817|0|16
4293986|1993811878|0|151
27288865|1666726302|0|138
48483026|171612971|0|135
183454770|1938240185|0|60
12862895|117858672|0|151
31822437|356286880|0|135
13868542|27351517|0|151
203933732|1447898985|0|28
23265598|683134443|0|67
10699258|94926111|0|135
1555|4316563405|0|120
5820364|383721997|0|135
58602422|725990424|0|170
513137033|529742640|0|120
45942475|585233405|0|151
5064264|34097363|0|67
22987516|1848539219|0|92
468720690|1947324474|0|2
98390680|1138300428|0|76
10571385|91781396|0|151
23390450|253254116|0|94
23062398|2337312370|0|120
25670228|434527426|0|151
6235510|18060000|0|191
72299577|858977323|0|170
37573456|36664222|0|94
17931166|185662241|0|67
5942398|2522033224|0|21
37560680|440097309|0|79
508825816|5147201240|0|92
22767848|2765163915|0|92
10604817|92734042|0|151
549263120|25421530|0|151
10605563|92746125|0|151
4766506|30441139|0|151
2971872|13892806|0|67
7971179|1605736658|0|151
512856677|20960891|0|130
23076141|249080665|0|151
327402379|18126526|0|135
103917074|1444298890|0|135
2960000|13919075|0|92
19798232|2872621546|0|67
4415261|3172518937|0|151
4799368|760364729|0|52
115796853|46189195|0|92
6251225|34104240|0|2
4263409|171633527|0|151
4339255|921180000|0|151
17109905|177685432|0|162
4776213|252858528|0|92
5728552|2765754698|0|151
4796572|31474637|0|151
24457889|147857210|0|92
38110243|115701547|0|79
4259887|2258963244|0|151
44744883|567581762|0|151
217241358|438170636|0|166
10404264|88787070|0|92
4488638|1119535800|0|60
3370738|872697413|0|151
22560326|610218640|0|151
235064146|5334276648|0|60
4861138|31369034|0|151
10376127|88305845|0|94
256768301|4356518411|0|135
7995432|1564485352|0|151
10320864|87345293|0|130
4699102|339856947|0|130
8363470|446257595|0|135
238488965|2448577459|0|131
50132175|2435306105|0|67
14759378|145662085|0|151
4253273|5379469995|0|135
10152151|83736870|0|151
27292964|339822501|0|2
4302810|1984439012|0|151
7955196|59351085|0|94
4259091|2131603302|0|60
22753536|244163696|0|151
22560323|450119932|0|151
4429791|27149832|0|151
23884880|2041816527|0|94
478182060|671453758|0|92
4675242|29691431|0|65
15134793|149566749|0|151
6069981|49988150|0|151
4492322|36188366|0|38
17108242|1349695519|0|151
8609957|61274216|0|151
22697141|243463150|0|151
4303114|621392508|0|52
8609831|61272987|0|151
4267973|25618454|0|67
4038781|21381994|0|151
4274283|25591193|0|151
20920665|224753323|0|94
146467308|1046250945|0|151
238650068|243682749|0|94
16788697|173711674|0|151
5227871|36728213|0|151
8909937|65248153|0|151
4088218|257913748|0|67
26637084|292169527|0|67
226281421|1451227703|0|92
4678596|345380584|0|151
13948246|131972019|0|38
332074332|1233350014|0|60
42955676|1953814209|0|130
6059530|5092418371|0|151
360817999|5223652963|0|67
25880911|282318448|0|67
4043404|21411598|0|151
8392299|26388730|0|151
26220410|1188112389|0|92
16292271|1235334741|0|151
8315138|3205374265|0|151
8585685|1754720004|0|151
557995053|128086327|0|151
5729084|43409264|0|115
48563314|25583101|0|60
10499568|1894287779|0|170
387163997|5216850730|0|60
158675766|223659213|0|151
4041326|21394432|0|60
4300093|442662308|0|141
78158140|918153180|0|52
5039366|33717266|0|151
80261848|432901|0|141
205885618|2158745453|0|151
23072437|1175309555|0|92
13866002|130153806|0|151
13853926|129941894|0|170
4045738|1131051716|0|67
4262436|306477622|0|2
9709419|76597519|0|67
24217924|262215881|0|151
24538726|1759945493|0|94
35471361|25811365|0|92
169137592|1803040477|0|79
20328244|215867430|0|151
26555692|2583040792|0|151
509188820|5387142193|0|135
11826101|105920535|0|151
50439451|68870181|0|151
18521671|191040898|0|131
23182787|2525034876|0|67
395163021|25277183|0|151
4788680|30692136|0|151
9667871|75862645|0|94
506080339|2270909711|0|151
27896148|30990119|0|151
158332500|1705559054|0|115
222519222|996407181|0|60
5227494|2392133017|0|67
1657786|609448391|0|135
12716268|116148486|0|196
9928799|1561523523|0|135
9027186|2496778309|0|135
32472129|365084207|0|151
363705159|3194426736|0|92
4651570|1719524974|0|67
8609992|3074830306|0|151
41151625|282216163|0|67
227392484|3197461923|0|92
160424423|1724699640|0|151
23074766|249068947|0|151
21395159|230079064|0|151
4488705|26787666|0|0
8610373|877684608|0|120
