WayID,PointID,Rotation,BeautyLabel,Confidence
3617968,18237764,2,1,0.54447454
4610445,1692431892,2,0,0.5574357
203494404,1959436162,1,0,0.5315166
203494404,1959436162,2,0,0.65543634
8136154,1469949937,1,0,0.5418192
45733570,582520348,2,1,0.5368137
45733570,582520348,1,1,0.61701745
8136154,1469949937,2,0,0.5471615
4940404,3625957390,1,0,0.509743
4940404,3625957390,2,1,0.55678123
48606853,177693509,2,1,0.50556576
4850337,1128258249,2,0,0.5265211
3595852,17788850,2,1,0.65869224
3595852,17788850,1,0,0.53487694
23372010,253067180,1,1,0.53115994
6059544,249486804,2,1,0.57367027
6059544,249486804,1,1,0.51557785
267951949,2733421079,1,0,0.5177893
267951949,2733421079,2,0,0.52751076
4278463,245794350,1,0,0.5101092
4278463,245794350,2,0,0.5724237
14371851,140039139,1,1,0.5320501
14371851,140039139,2,1,0.5399734
9380150,470643381,2,1,0.5691
4599495,1985924011,2,1,0.5206169
2138933,2308760565,2,0,0.5447669
4632657,29426878,1,0,0.57446337
4632657,29426878,2,1,0.50497544
39523099,105920102,1,0,0.60611826
39523099,105920102,2,0,0.5963349
30409870,105665136,1,1,0.507865
100868531,2921402589,1,0,0.59881675
100868531,2921402589,2,1,0.59438664
99069430,332442559,2,0,0.5438203
2947,2404145428,1,0,0.5914904
4951539,3201222603,1,1,0.5757372
363760419,27018747,2,1,0.6289711
24575980,424618,1,1,0.6695432
24575980,424618,2,1,0.62037945
363760419,27018747,1,1,0.5700325
23030619,248469081,1,0,0.54365724
23030619,248469081,2,0,0.52097327
9652943,75539567,1,0,0.54534936
15132826,149534158,2,1,0.5591391
41151622,169655600,2,0,0.5008908
15132826,149534158,1,1,0.60633034
59034335,731652833,2,1,0.56837076
125624664,2166270677,1,1,0.61054116
125624664,2166270677,2,1,0.6292579
59034335,731652833,1,1,0.5859187
4223934,5090420940,2,1,0.5275266
10148946,1765559925,2,1,0.5843169
4223934,5090420940,1,0,0.54312414
22824524,245735337,2,0,0.6077004
22824524,245735337,1,1,0.5620998
4746963,25436806,1,0,0.53944325
41151622,169655600,1,0,0.5216039
75219501,888066739,1,1,0.53475153
10148946,1765559925,1,1,0.65646696
15134219,149557195,2,1,0.53333193
23505855,254574856,2,0,0.55249506
23505855,254574856,1,1,0.6636707
15134219,149557195,1,0,0.51163656
8394140,3099721994,1,0,0.589885
8394140,3099721994,2,1,0.5572765
50551524,26197109,1,1,0.56857276
12896244,118238523,2,1,0.59782803
12896244,118238523,1,1,0.61993253
50551524,26197109,2,0,0.5496108
217162049,2264574100,2,0,0.5152827
217162049,2264574100,1,0,0.5148463
23546879,3888500242,2,0,0.56410843
11020678,243782460,2,0,0.6044847
11020678,243782460,1,0,0.6186114
4228893,451733360,1,1,0.5489329
10133117,83594478,1,1,0.57626456
10133117,83594478,2,1,0.68948215
33572567,36668870,2,0,0.518112
539111201,873867358,1,1,0.67703867
18928926,195873774,1,1,0.54623926
62275594,778130603,1,1,0.540425
3110738,620066,2,0,0.50146633
3110738,620066,1,1,0.54356605
44380073,1094605353,1,0,0.517902
44380073,1094605353,2,1,0.53715044
12946217,119035777,1,0,0.6002047
287112564,104062811,1,1,0.54756635
287112564,104062811,2,1,0.57263416
45833941,11079568,1,0,0.5100238
438319268,874823385,2,1,0.60855675
438319268,874823385,1,1,0.5191711
45833941,11079568,2,0,0.5601141
18928926,195873774,2,1,0.618549
4240301,25321874,2,1,0.5996663
15222578,150622369,1,1,0.50443727
15222578,150622369,2,0,0.55754507
4240301,25321874,1,1,0.51408595
23251695,25696880,1,1,0.594161
293465372,35959946,1,1,0.62843776
25121045,273509332,1,1,0.5364449
25121045,273509332,2,1,0.5967657
293465372,35959946,2,1,0.56178457
108515957,1244831326,1,0,0.6761594
23251695,25696880,2,1,0.55303293
108515957,1244831326,2,1,0.5351929
4704419,29933315,2,1,0.5876224
35266666,26145468,2,0,0.52229863
35266666,26145468,1,1,0.52316034
4704419,29933315,1,1,0.527595
10374625,2686171933,1,1,0.615722
10374625,2686171933,2,1,0.6489137
4408757,2516695073,2,1,0.64905685
4408757,2516695073,1,1,0.5588213
13495017,4388769352,1,0,0.65431917
2495343,1965917148,2,0,0.65175116
3997652,20961093,1,1,0.52598363
3997652,20961093,2,0,0.5056726
4976055,4573233879,1,1,0.5955922
4976055,4573233879,2,1,0.53044283
13898682,130889095,1,1,0.5692698
13898682,130889095,2,1,0.5008194
10807138,96072426,2,1,0.5040268
314499882,1885068222,2,0,0.5279377
30733429,585209626,2,1,0.56350493
54266034,684347830,1,0,0.60440487
314499882,1885068222,1,0,0.55510265
229699755,2311947832,2,0,0.53079975
34248621,36724991,2,0,0.58039707
5218740,36712291,2,0,0.5440887
4377609,1835593834,2,1,0.61294734
4377609,1835593834,1,0,0.53382933
5218740,36712291,1,0,0.50387585
4252417,198177,1,1,0.5528883
4252417,198177,2,1,0.5028925
37804508,443418084,1,1,0.51487595
4772452,279006687,1,1,0.62523663
52489930,701001447,1,0,0.65431917
52489930,701001447,2,0,0.65431917
366078296,3700647401,1,0,0.65431917
366078296,3700647401,2,0,0.65431917
37804508,443418084,2,0,0.55476695
5045836,1150694031,2,0,0.56218505
5045836,1150694031,1,1,0.6192439
9546145,73820416,1,0,0.5311905
4356098,107800,2,1,0.5726315
