WayID,PointID,Rotation,BeautyLabel,Confidence
243779080,3023435135,0,0,0.53309566
4268613,1569077656,0,1,0.6124303
4335345,26385386,0,1,0.5158422
4338820,918066022,0,1,0.54960376
10054718,82623697,0,1,0.5972788
57384148,3260953885,0,0,0.56188095
4775585,30528118,0,1,0.6415682
14388761,140387802,0,0,0.52203536
4075355,1910313834,0,1,0.59366095
39044824,465737388,0,1,0.52796453
10439108,89385371,0,1,0.52806747
23109642,5098965176,0,0,0.5032347
5108535,34971738,0,1,0.54814756
16734647,173023499,0,0,0.65431917
5172029,35958844,0,1,0.66635865
48615791,31388149,0,0,0.5289059
38697241,29566026,0,1,0.58097374
10375668,5279527763,0,1,0.5323802
35962220,81602078,0,1,0.5491569
24249965,4672118022,0,1,0.53470504
13874277,130256307,0,0,0.50649387
7971158,21587935,0,0,0.5366888
419114924,25477049,0,1,0.52518684
23255457,1887551027,0,0,0.5242139
27820437,4534666468,0,0,0.52310854
14765913,145727343,0,1,0.5523931
14008970,1818606715,0,1,0.5653496
413046623,4690985015,0,1,0.55062443
4261888,25572587,0,0,0.5069272
8297009,1179913168,0,1,0.5277499
9171773,68230167,0,0,0.5304272
5081400,34555749,0,1,0.63951355
2532355,26416452,0,0,0.53033185
10269766,85843914,0,0,0.5028581
8318238,124247847,0,0,0.5350098
22756648,244212533,0,1,0.57766336
5027277,259076139,0,1,0.542287
14182209,283249668,0,1,0.6324431
22754383,1785641253,0,0,0.6393551
280251136,4223730432,0,1,0.53510565
4278776,25696903,0,1,0.54395926
4799301,4972877724,0,1,0.5888375
26643981,689549019,0,0,0.5528935
47009514,360896229,0,1,0.5792879
5929481,18061624,0,0,0.5046137
4260082,4314934300,0,1,0.65795344
31825375,4011872195,0,1,0.5835764
23141896,249895535,0,0,0.52148896
82257516,1185886760,0,0,0.50323504
38900541,1014649631,0,0,0.5201248
9953578,1561852396,0,1,0.55047697
7225349,1938819292,0,1,0.51423293
3344906,16473185,0,0,0.5207689
49600361,68337847,0,1,0.63276
10699771,94960227,0,1,0.5748713
22662770,243074450,0,1,0.56073636
22726025,3203507,0,1,0.7052798
315654275,30991631,0,0,0.5303201
